header,program_time,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ,quatW,quatX,quatY,quatZ
246,14163,1.9600000381469727,4.050000190734863,4.699999809265137,0.01745329238474369,-0.02617993950843811,0.021816615015268326,38.75,-136.5625,117.875,0.99853515625,0.0013427734375,-0.03533935546875,0.04046630859375
246,15124,-1.2899999618530273,1.6399999856948853,-2.4000000953674316,0.009817477315664291,0.014180799946188927,0.003272492438554764,39.75,-136.5625,119.0625,0.9986572265625,0.0003662109375,-0.0302734375,0.0421142578125
246,16143,-3.299999952316284,2.240000009536743,1.8600000143051147,0.0054541537538170815,0.0010908307740464807,0.003272492438554764,39.375,-135.875,119.875,0.9986572265625,0.00030517578125,-0.0281982421875,0.04339599609375
246,17160,-2.990000009536743,1.100000023841858,0.17000000178813934,0.0054541537538170815,0.004363323096185923,-0.004363323096185923,40.5625,-136.6875,118.25,0.99859619140625,-0.000244140625,-0.02947998046875,0.04400634765625
246,18083,-0.33000001311302185,1.1100000143051147,1.4299999475479126,-0.01636246219277382,-0.020725784823298454,0.015271631069481373,40.5625,-136.1875,120.6875,0.9984130859375,-0.0003662109375,-0.03204345703125,0.04571533203125
246,19204,-0.5099999904632568,-0.15000000596046448,0.07000000029802322,-0.009817477315664291,-0.004363323096185923,0.01745329238474369,40.75,-136.0625,118.875,0.99810791015625,-0.00042724609375,-0.03314208984375,0.05218505859375
246,20131,-0.09000000357627869,2.3299999237060547,-0.8100000023841858,-0.008726646192371845,0.010908307507634163,0.0021816615480929613,40.5625,-135.0625,116.75,0.99652099609375,0.06072998046875,0.022216796875,0.0531005859375
246,21159,0.05000000074505806,0.05999999865889549,-0.25999999046325684,-0.003272492438554764,-0.008726646192371845,0.0010908307740464807,40.25,-135.5,118.5,0.99639892578125,0.0633544921875,0.0196533203125,0.052978515625
246,22081,-0.03999999910593033,-0.07999999821186066,-0.23999999463558197,-0.0010908307740464807,0.0021816615480929613,-0.0010908307740464807,40.5625,-135.875,118.75,0.996337890625,0.06378173828125,0.0196533203125,0.05291748046875
246,23062,-0.11999999731779099,-0.07000000029802322,-0.25999999046325684,-0.0010908307740464807,-0.007635815534740686,0.004363323096185923,40.5625,-135.1875,117.5625,0.996337890625,0.06378173828125,0.0198974609375,0.05291748046875
246,24127,-0.12999999523162842,-0.019999999552965164,-0.2199999988079071,-0.0021816615480929613,-0.0010908307740464807,-0.0010908307740464807,40.25,-135.875,117.375,0.99639892578125,0.0638427734375,0.019287109375,0.05291748046875
246,25147,-0.17000000178813934,-0.05000000074505806,-0.28999999165534973,0.0,-0.008726646192371845,0.0,40.25,-135.5625,118.0625,0.99639892578125,0.06365966796875,0.02001953125,0.0528564453125
246,26065,-0.05000000074505806,0.009999999776482582,-0.30000001192092896,0.0010908307740464807,0.022907447069883347,-0.004363323096185923,39.6875,-134.75,117.75,0.9964599609375,0.06341552734375,0.01739501953125,0.05255126953125
246,27085,-0.05999999865889549,-0.05999999865889549,-0.2800000011920929,0.0010908307740464807,-0.004363323096185923,-0.0010908307740464807,40.5,-134.875,118.5,0.99639892578125,0.06329345703125,0.01995849609375,0.052734375
246,28104,-0.029999999329447746,-0.009999999776482582,-0.25,0.0021816615480929613,-0.0010908307740464807,0.0,40.5,-135.25,118.875,0.99639892578125,0.06329345703125,0.01995849609375,0.052734375
246,29121,-0.029999999329447746,-0.05999999865889549,-0.2800000011920929,0.0,-0.0054541537538170815,0.0021816615480929613,39.6875,-135.5625,118.875,0.99639892578125,0.06329345703125,0.01995849609375,0.052734375
246,30041,0.03999999910593033,0.0,-0.2800000011920929,-0.0010908307740464807,0.0021816615480929613,-0.0010908307740464807,39.6875,-135.5625,118.1875,0.99639892578125,0.06329345703125,0.01995849609375,0.052734375
246,31068,0.009999999776482582,-0.029999999329447746,-0.23000000417232513,0.0010908307740464807,0.015271631069481373,-0.003272492438554764,39.375,-135.5625,117.6875,0.99639892578125,0.063232421875,0.020751953125,0.052734375
246,32096,-0.05000000074505806,-0.029999999329447746,-0.27000001072883606,-0.0010908307740464807,-0.004363323096185923,-0.0010908307740464807,39.375,-135.25,118.875,0.99639892578125,0.06317138671875,0.0216064453125,0.05279541015625
