header,program_time,temp,height1,height2,height3,air_pressure1,air_pressure2
243,8880,20.077590942382812,0,306,302,100504.71875,100505.1640625
243,9782,20.088272094726562,302,302,302,100504.2265625,100503.546875
243,10812,20.104293823242188,302,302,302,100505.1640625,100502.7265625
243,11826,20.117645263671875,302,302,302,100505.15625,100502.8515625
243,12840,20.1336669921875,302,302,302,100504.2734375,100504.921875
243,13860,20.152359008789062,302,302,302,100502.9375,100503.1015625
243,14882,20.163040161132812,302,302,302,100504.171875,100503.25
243,15800,20.19775390625,302,302,302,100503.5859375,100502.40625
243,16822,20.20843505859375,302,302,302,100502.625,100502.3046875
243,17847,20.237808227539062,302,302,302,100503.9453125,100503.65625
243,18766,20.277862548828125,302,302,302,100503.0234375,100501.625
243,19888,20.3045654296875,302,302,302,100502.6953125,100504.21875
243,20813,20.344619750976562,302,302,302,100503.828125,100503.3828125
243,21840,20.387344360351562,302,302,302,100502.8828125,100501.109375
243,22868,20.424728393554688,302,302,302,100504.28125,100502.4765625
243,23898,20.467453002929688,302,302,302,100501.78125,100500.78125
243,24829,20.512847900390625,302,302,302,100500.2421875,100501.7734375
243,25862,20.5609130859375,302,302,302,100501.578125,100501.34375
243,26896,20.6036376953125,302,302,302,100501.8359375,100502.75
243,27826,20.649032592773438,302,302,302,100501.5390625,100502.5546875
243,28857,20.694427490234375,302,302,302,100503.03125,100499.84375
243,29891,20.737152099609375,302,302,302,100503.2265625,100501.7265625
243,30823,20.787887573242188,302,302,302,100500.84375,100502.1953125
243,31858,20.830612182617188,302,302,302,100501.90625,100500.84375
243,32892,20.884017944335938,302,302,302,100501.8828125,100500.7890625
243,33826,20.929412841796875,302,302,302,100499.140625,100500.3828125
243,34877,20.97747802734375,302,302,302,100500.03125,100500.0234375
243,36742,21.070938110351562,302,302,302,100498.0390625,100499.5625
243,37794,21.12701416015625,302,302,302,100499.3671875,100499.3515625
243,38743,21.196441650390625,302,302,302,100498.5234375,100496.828125
243,39603,21.239166259765625,302,306,302,100498.3515625,100498.765625
243,40748,21.29791259765625,306,306,306,100500.609375,100500.3125
243,41803,21.356658935546875,306,306,306,100499.5234375,100499.765625
243,42758,21.4154052734375,306,306,306,100497.28125,100498.6015625
243,43710,21.455459594726562,306,306,306,100497.515625,100497.53125
243,44763,21.503524780273438,306,306,306,100497.921875,100497.28125
243,45718,21.546249389648438,306,306,306,100498.9609375,100500.1328125
243,46773,21.602325439453125,306,301,301,100498.671875,100496.2890625
243,47734,21.66107177734375,301,301,301,100497.25,100496.3984375
243,48658,21.685104370117188,301,301,301,100498.4765625,100498.6796875
243,49753,21.754531860351562,301,302,302,100496.078125,100497.359375
