header,program_time,accX,accY,accZ,gyroX,gyroY,gyroZ
246,14163,1.9600000381469727,4.050000190734863,4.699999809265137,0.01745329238474369,-0.02617993950843811,0.021816615015268326
246,15124,-1.2899999618530273,1.6399999856948853,-2.4000000953674316,0.009817477315664291,0.014180799946188927,0.003272492438554764
246,16143,-3.299999952316284,2.240000009536743,1.8600000143051147,0.0054541537538170815,0.0010908307740464807,0.003272492438554764
246,17160,-2.990000009536743,1.100000023841858,0.17000000178813934,0.0054541537538170815,0.004363323096185923,-0.004363323096185923
246,18083,-0.33000001311302185,1.1100000143051147,1.4299999475479126,-0.01636246219277382,-0.020725784823298454,0.015271631069481373
246,19204,-0.5099999904632568,-0.15000000596046448,0.07000000029802322,-0.009817477315664291,-0.004363323096185923,0.01745329238474369
246,20131,-0.09000000357627869,2.3299999237060547,-0.8100000023841858,-0.008726646192371845,0.010908307507634163,0.0021816615480929613
246,21159,0.05000000074505806,0.05999999865889549,-0.25999999046325684,-0.003272492438554764,-0.008726646192371845,0.0010908307740464807
246,22081,-0.03999999910593033,-0.07999999821186066,-0.23999999463558197,-0.0010908307740464807,0.0021816615480929613,-0.0010908307740464807
246,23062,-0.11999999731779099,-0.07000000029802322,-0.25999999046325684,-0.0010908307740464807,-0.007635815534740686,0.004363323096185923
246,24127,-0.12999999523162842,-0.019999999552965164,-0.2199999988079071,-0.0021816615480929613,-0.0010908307740464807,-0.0010908307740464807
246,25147,-0.17000000178813934,-0.05000000074505806,-0.28999999165534973,0.0,-0.008726646192371845,0.0
246,26065,-0.05000000074505806,0.009999999776482582,-0.30000001192092896,0.0010908307740464807,0.022907447069883347,-0.004363323096185923
246,27085,-0.05999999865889549,-0.05999999865889549,-0.2800000011920929,0.0010908307740464807,-0.004363323096185923,-0.0010908307740464807
246,28104,-0.029999999329447746,-0.009999999776482582,-0.25,0.0021816615480929613,-0.0010908307740464807,0.0
246,29121,-0.029999999329447746,-0.05999999865889549,-0.2800000011920929,0.0,-0.0054541537538170815,0.0021816615480929613
246,30041,0.03999999910593033,0.0,-0.2800000011920929,-0.0010908307740464807,0.0021816615480929613,-0.0010908307740464807
