header,program_time,unixEpoch,latitude,longitude,altitude,groundSpeed,heading
241,132518,1684527272,35.1242299,138.6309086,14268,20,0
241,133596,1684527273,35.1242301,138.6309085,14277,3,0
241,134572,1684527274,35.1242303,138.6309085,14279,5,0
241,135550,1684527275,35.1242303,138.6309085,14257,18,0
241,136527,1684527276,35.1242303,138.6309086,14264,26,0
241,137602,1684527277,35.1242305,138.6309087,14312,32,0
241,138574,1684527278,35.1242307,138.6309088,14368,11,0
241,139551,1684527279,35.1242302,138.6309089,14429,41,0
241,140529,1684527280,35.12423,138.6309091,14428,18,0
241,141505,1684527281,35.1242293,138.6309091,14420,8,0
241,142584,1684527282,35.1242301,138.6309087,14427,11,0
241,143563,1684527283,35.1242303,138.6309084,14409,15,0
241,144546,1684527284,35.1242303,138.630908,14500,26,0
241,145526,1684527285,35.1242305,138.6309076,14509,29,0
241,146509,1684527286,35.1242311,138.6309073,14514,16,0
241,147591,1684527287,35.1242317,138.630907,14512,8,0
241,148578,1684527288,35.1242321,138.6309069,14475,31,0
241,149564,1684527289,35.1242317,138.6309066,14417,17,0
241,150543,1684527290,35.1242318,138.6309066,14405,16,0
241,151526,1684527291,35.1242316,138.6309067,14390,3,0
241,152616,1684527292,35.1242314,138.6309069,14348,16,0
241,153594,1684527293,35.1242316,138.6309067,14358,19,0
241,154573,1684527294,35.124232,138.6309068,14368,12,0
241,155558,1684527295,35.1242322,138.630907,14383,33,0
241,156541,1684527296,35.1242322,138.6309071,14357,15,0
241,157526,1684527297,35.1242327,138.6309069,14302,15,0
241,158610,1684527298,35.1242328,138.630907,14236,49,0
241,159597,1684527299,35.1242326,138.6309072,14181,13,0
241,160580,1684527300,35.1242325,138.6309074,14176,11,0
241,161564,1684527301,35.1242327,138.6309071,14149,30,0
241,162551,1684527302,35.1242328,138.6309071,14111,16,0
241,163537,1684527303,35.1242326,138.6309072,14081,1,0
241,164519,1684527304,35.1242326,138.6309072,14020,52,0
241,165605,1684527305,35.1242327,138.6309074,14016,4,0
241,166592,1684527306,35.1242328,138.6309076,13984,6,0
241,167591,1684527307,35.1242327,138.6309082,13967,15,0
241,168586,1684527308,35.1242326,138.6309085,13991,9,0
241,169573,1684527309,35.1242331,138.6309088,13995,43,0
241,170562,1684527310,35.1242335,138.6309091,13966,34,0
241,171548,1684527311,35.1242333,138.6309093,13994,20,0
241,172536,1684527312,35.1242333,138.6309097,14022,33,0
241,173524,1684527313,35.1242334,138.6309095,14101,17,0
241,174519,1684527314,35.1242338,138.6309097,14113,31,0
241,175606,1684527315,35.1242335,138.6309096,14159,26,0
241,176595,1684527316,35.1242339,138.6309094,14187,13,0
241,177582,1684527317,35.1242343,138.6309096,14255,6,0
241,178570,1684527318,35.1242346,138.6309097,14303,11,0
241,179558,1684527319,35.1242349,138.63091,14345,14,0
241,180544,1684527320,35.1242351,138.6309103,14405,13,0
241,181532,1684527321,35.124235,138.6309102,14421,31,0
241,182518,1684527322,35.1242347,138.6309105,14454,19,0
241,183600,1684527323,35.124234,138.6309107,14461,10,0
241,184585,1684527324,35.1242343,138.6309109,14447,7,0
241,185571,1684527325,35.1242347,138.6309108,14422,15,0
241,186558,1684527326,35.1242356,138.6309109,14430,20,0
241,187544,1684527327,35.1242356,138.630911,14427,9,0
241,188532,1684527328,35.1242357,138.6309112,14451,25,0
241,189419,1684527329,35.1242355,138.6309112,14490,30,0
241,190608,1684527330,35.1242356,138.6309111,14487,17,0
241,191596,1684527331,35.1242354,138.6309111,14524,40,0
241,192584,1684527332,35.1242357,138.6309108,14553,34,0
241,193572,1684527333,35.1242355,138.6309108,14560,52,0
241,194568,1684527334,35.1242353,138.6309106,14553,9,0
241,195565,1684527335,35.1242354,138.6309102,14558,10,0
241,196556,1684527336,35.124235,138.6309105,14624,41,0
241,197549,1684527337,35.1242345,138.6309105,14617,21,0
241,198542,1684527338,35.1242343,138.6309107,14641,20,0
241,199526,1684527339,35.1242342,138.6309108,14680,29,0
241,200514,1684527340,35.124234,138.6309109,14726,30,0
241,201604,1684527341,35.1242337,138.6309113,14780,22,0
241,202597,1684527342,35.1242337,138.6309116,14824,13,0
241,203587,1684527343,35.1242339,138.630912,14903,17,0
241,204577,1684527344,35.1242335,138.6309122,14979,34,0
241,205570,1684527345,35.1242334,138.6309124,15079,11,0
241,206568,1684527346,35.1242327,138.6309128,15159,29,0
241,207558,1684527347,35.1242327,138.6309131,15249,6,0
241,208547,1684527348,35.1242328,138.6309133,15330,11,0
241,209642,1684527349,35.1242325,138.6309132,15404,3,0
241,210639,1684527351,35.1242321,138.6309139,15603,10,0
241,212579,1684527352,35.124232,138.630914,15720,4,0
241,213574,1684527353,35.1242319,138.630914,15790,16,0
241,214575,1684527354,35.1242319,138.630914,15837,14,0
241,215577,1684527355,35.1242321,138.6309138,15862,18,0
241,216581,1684527356,35.1242319,138.6309138,15900,3,0
241,217581,1684527357,35.1242318,138.6309135,15912,21,0
241,218587,1684527358,35.1242318,138.6309134,15938,11,0
241,219590,1684527359,35.1242316,138.6309133,15975,23,0
241,220597,1684527360,35.1242318,138.6309129,15976,17,0
241,221599,1684527361,35.1242316,138.6309126,16008,30,0
241,222597,1684527362,35.1242312,138.6309124,16057,30,0
241,223596,1684527363,35.1242311,138.6309123,16120,7,0
241,224594,1684527364,35.124231,138.6309121,16142,30,0
241,225593,1684527365,35.1242305,138.6309124,16225,35,0
241,226599,1684527366,35.1242301,138.6309125,16289,14,0
241,227604,1684527367,35.1242297,138.6309128,16320,24,0
241,228613,1684527368,35.1242294,138.6309131,16380,30,0
241,229615,1684527369,35.1242298,138.6309137,16483,31,0
241,230621,1684527370,35.1242303,138.6309143,16586,19,0
241,231618,1684527371,35.1242303,138.6309152,16698,26,0
241,232613,1684527372,35.1242305,138.6309158,16766,35,0
241,233609,1684527373,35.1242307,138.6309162,16852,14,0
241,234606,1684527374,35.1242313,138.6309163,16867,35,0
241,235603,1684527375,35.1242318,138.6309162,16861,29,0
241,236608,1684527376,35.1242323,138.6309166,16944,17,0
241,237605,1684527377,35.1242322,138.6309166,16964,32,0
241,238603,1684527378,35.1242324,138.6309163,16944,8,0
241,239607,1684527379,35.1242324,138.630916,16917,25,0
241,240619,1684527380,35.1242327,138.6309161,16945,14,0
241,241623,1684527381,35.1242329,138.6309163,17009,9,0
241,242631,1684527383,35.1242332,138.6309155,16923,55,0
241,244588,1684527384,35.1242333,138.6309154,16892,16,0
241,245596,1684527385,35.1242337,138.6309154,16907,19,0
241,246604,1684527386,35.1242331,138.6309151,16811,10,0
241,247616,1684527387,35.1242341,138.6309147,16735,7,0
241,248626,1684527388,35.1242353,138.6309139,16596,10,0
241,249641,1684527390,35.1242367,138.630913,16389,9,0
241,251630,1684527391,35.1242375,138.6309128,16312,7,0
241,252636,1684527392,35.1242381,138.6309126,16220,18,0
241,253634,1684527393,35.1242391,138.6309122,16155,49,0
241,254634,1684527394,35.1242401,138.6309116,16066,31,0
241,255639,1684527395,35.1242401,138.6309112,16001,4,0
241,256631,1684527397,35.1242406,138.6309111,15960,15,0
241,258583,1684527398,35.1242409,138.6309107,15882,13,0
241,259574,1684527399,35.1242414,138.6309103,15799,3,0
241,260562,1684527400,35.1242417,138.6309099,15729,10,0
241,261558,1684527401,35.1242418,138.6309097,15684,14,0
241,262556,1684527402,35.1242418,138.6309094,15642,11,0
241,263555,1684527403,35.1242417,138.6309098,15665,8,0
241,264554,1684527404,35.1242413,138.6309099,15654,17,0
241,265553,1684527405,35.1242416,138.6309096,15584,8,0
241,266442,1684527406,35.1242424,138.6309089,15506,17,0
241,267565,1684527407,35.1242431,138.6309082,15445,8,0
241,268565,1684527408,35.1242436,138.6309077,15390,22,0
241,269570,1684527409,35.1242442,138.6309073,15361,25,0
241,270549,1684527410,35.1242448,138.6309069,15329,2,0
241,271583,1684527411,35.1242453,138.6309065,15301,14,0
241,272590,1684527412,35.1242457,138.6309063,15276,32,0
241,273598,1684527413,35.1242459,138.6309063,15288,24,0
241,274601,1684527414,35.1242465,138.630906,15277,5,0
241,275611,1684527415,35.124247,138.6309058,15236,12,0
241,276618,1684527416,35.1242475,138.6309056,15227,5,0
241,277618,1684527417,35.124248,138.6309054,15216,10,0
241,278619,1684527418,35.1242483,138.6309053,15218,10,0
241,279621,1684527419,35.1242489,138.6309052,15173,3,0
241,280621,1684527420,35.1242491,138.6309052,15157,13,0
241,281618,1684527421,35.1242492,138.6309052,15157,5,0
241,282617,1684527422,35.1242495,138.6309051,15117,11,0
241,283617,1684527423,35.1242494,138.6309048,15113,34,0
