header,quatW,quatX,quatY,quatZ,magX,magY,magZ
240,0.99810791015625,0.05712890625,0.0213623046875,0.00042724609375,60.25,-402.875,178.1875
240,0.99810791015625,0.05712890625,0.02203369140625,0.00048828125,60.6875,-403.25,179.0625
240,0.99810791015625,0.05712890625,0.02203369140625,0.00048828125,60.6875,-402.875,180.25
240,0.99810791015625,0.05712890625,0.02203369140625,0.00048828125,61.75,-403.6875,180.25
240,0.99810791015625,0.05712890625,0.0223388671875,0.00048828125,58.875,-402.875,179.5625
240,0.99810791015625,0.05712890625,0.0223388671875,0.00048828125,60.6875,-403.0,179.75
240,0.99810791015625,0.05712890625,0.0223388671875,0.00048828125,61.0625,-403.0,179.25
240,0.99810791015625,0.057373046875,0.0216064453125,0.0006103515625,59.1875,-402.5625,178.25
240,0.99810791015625,0.0572509765625,0.02142333984375,0.0006103515625,59.875,-403.0,179.375
240,0.99810791015625,0.0572509765625,0.02130126953125,0.0006103515625,60.6875,-403.0625,179.0625
240,0.9981689453125,0.0572509765625,0.020263671875,0.00067138671875,60.25,-403.0625,179.875
240,0.9981689453125,0.0577392578125,0.0167236328125,0.00054931640625,60.25,-403.0625,180.25
240,0.9981689453125,0.0576171875,0.01702880859375,0.00048828125,61.375,-403.0625,180.0
240,0.9981689453125,0.0576171875,0.01678466796875,0.00048828125,59.5625,-403.375,177.75
240,0.9981689453125,0.0576171875,0.017333984375,0.00054931640625,59.5625,-403.0625,179.6875
240,0.9981689453125,0.0576171875,0.017333984375,0.00054931640625,59.25,-403.5,179.0
240,0.9981689453125,0.0576171875,0.01776123046875,0.00048828125,60.6875,-403.0625,180.5
240,0.9981689453125,0.0576171875,0.0184326171875,0.00054931640625,58.875,-403.5,179.75
240,0.9981689453125,0.0576171875,0.01873779296875,0.00054931640625,59.5625,-402.75,179.375
240,0.9981689453125,0.0576171875,0.01873779296875,0.00054931640625,60.0,-403.0625,180.25
240,0.9981689453125,0.0576171875,0.01873779296875,0.00054931640625,60.0,-402.75,179.0625
240,0.9981689453125,0.0576171875,0.01873779296875,0.00054931640625,60.25,-403.1875,179.5625
240,0.9981689453125,0.0576171875,0.0186767578125,0.00054931640625,60.6875,-402.375,179.1875
240,0.9981689453125,0.0576171875,0.01904296875,0.00054931640625,60.0,-403.1875,178.75
240,0.99810791015625,0.0576171875,0.0216064453125,0.000732421875,37.875,-245.75,109.1875
240,0.998046875,0.05755615234375,0.024169921875,0.0008544921875,35.875,-243.75,108.6875
240,0.998046875,0.05755615234375,0.02471923828125,0.00091552734375,37.0,-243.875,108.75
240,0.99798583984375,0.05755615234375,0.0257568359375,0.0009765625,36.25,-244.25,108.0625
240,0.998046875,0.05755615234375,0.02362060546875,0.0008544921875,36.6875,-244.25,109.6875
240,0.998046875,0.05755615234375,0.02362060546875,0.0008544921875,35.875,-244.5625,108.1875
240,0.99810791015625,0.0576171875,0.0228271484375,0.00079345703125,36.6875,-243.875,109.0
240,0.9981689453125,0.0576171875,0.0191650390625,0.00054931640625,36.5625,-243.0625,107.6875
240,0.9981689453125,0.05767822265625,0.0194091796875,0.0006103515625,36.1875,-243.75,108.0625
240,0.9981689453125,0.057861328125,0.0184326171875,0.00054931640625,37.0,-243.0625,108.0625
240,0.9981689453125,0.057861328125,0.01788330078125,0.00048828125,35.75,-243.0625,107.75
240,0.9981689453125,0.05792236328125,0.017578125,0.00054931640625,35.75,-243.0625,108.875
240,0.9981689453125,0.057861328125,0.01702880859375,0.00054931640625,37.0,-243.5,108.1875
240,0.9981689453125,0.05792236328125,0.01611328125,0.00048828125,36.5625,-242.75,107.875
